stock_id,price,x0_lots,buy_lots,sell_lots,x_lots,weight_actual,weight_ideal,deviation,cash_after
2485,70600.0,0,2,0,2,0.01412,0.01412,0.0,23804.15
3054,66600.0,0,3,0,3,0.01998,0.024193943,0.004213943,23804.15
3555,195000.0,0,4,0,4,0.078,0.080657146,0.002657146,23804.15
3585,89100.0,0,4,0,4,0.03564,0.03793512,0.00229512,23804.15
4537,164500.0,0,1,0,1,0.01645,0.01645,0.0,23804.15
4577,118000.0,0,1,0,1,0.0118,0.015281123,0.003481123,23804.15
4925,156000.0,0,1,0,1,0.0156,0.0156,0.0,23804.15
5246,131000.0,0,7,0,7,0.0917,0.0917,0.0,23804.15
5386,429500.0,0,2,0,2,0.0859,0.0859,0.0,23804.15
5475,278000.0,0,3,0,3,0.0834,0.0834,0.0,23804.15
6217,239000.0,0,1,0,1,0.0239,0.0239,0.0,23804.15
6727,496500.0,0,2,0,2,0.0993,0.082892695,0.016407305,23804.15
6830,684000.0,0,1,0,1,0.0684,0.0684,0.0,23804.15
6831,720000.0,0,1,0,1,0.072,0.072,0.0,23804.15
6990,138000.0,0,4,0,4,0.0552,0.062298343,0.007098343,23804.15
7729,74900.0,0,2,0,2,0.01498,0.01498,0.0,23804.15
7742,151500.0,0,6,0,6,0.0909,0.0909,0.0,23804.15
7781,29400.0,0,12,0,12,0.03528,0.03574163,0.00046163,23804.15
8021,361000.0,0,2,0,2,0.0722,0.0722,0.0,23804.15
8043,114500.0,0,1,0,1,0.01145,0.01145,0.0,23804.15
