證券代碼,年月,營收成長率,ROE(A)－稅後
000930 華南永昌證券,202506,-16.75,2.93
000960 富邦證券,202506,-11.8,3.91
000980 元大證券,202506,2.54,3.42
0009A0 永豐金證券,202506,-13.94,2.4
1101 台泥,202506,-9.28,0.25
1102 亞泥,202506,-14.6,1.6
1103 嘉泥,202506,4.1,-1.5
1104 環泥,202506,-5.89,1.67
1108 幸福,202506,-4.64,10.65
1109 信大,202506,-8.13,1.11
1110 東泥,202506,23.79,0.07
1201 味全,202506,-6.45,0.36
1203 味王,202506,-7.31,0.93
1210 大成,202506,-0.49,2.1
1213 大飲,202506,64.78,-1.87
1215 卜蜂,202506,5.31,6.99
1216 統一,202506,4.6,4.36
1217 愛之味,202506,3.39,0.95
1218 泰山,202506,-4.9,1.12
1219 福壽,202506,0.72,-1.71
1220 台榮,202506,-2.03,0.13
1225 福懋油,202506,-1.77,2.82
1227 佳格,202506,-2.87,0.57
1229 聯華,202506,4.22,2.97
1231 聯華食,202506,12.42,3.5
1232 大統益,202506,-4.38,5.8
1233 天仁,202506,0.21,0.96
1234 黑松,202506,8.24,0.76
1235 興泰,202506,68.79,1.59
1236 宏亞,202506,-2.64,-2.06
1240 茂生農經,202506,-7.49,3.63
1256 鮮活果汁-KY,202506,-11.23,3.68
1259 安心,202506,0.41,0.91
1260 富味鄉,202506,-2.41,0.65
1264 德麥,202506,2.9,5.49
1268 漢來美食,202506,7.54,3.24
1269 乾杯,202506,-0.44,-1.06
1271 晨暉生技,202506,-3.86,1.36
1293 利統,202506,23.66,6.2
1294 漢田生技,202506,-10.41,4.74
1295 生合,202506,28.29,5.58
1301 台塑,202506,-11.2,-2.38
1303 南亞,202506,-1.04,-1.22
1304 台聚,202506,-14.01,-5
1305 華夏,202506,-13.58,-4.87
1307 三芳,202506,-0.92,-0.52
1308 亞聚,202506,-10.33,-2.75
1309 台達化,202506,-22.12,-4.09
1310 台苯,202506,-28.74,-2.7
1312 國喬,202506,5.25,-2.96
1313 聯成,202506,-26.5,-0.56
1314 中石化,202506,-42.45,-1.9
1315 達新,202506,10.26,-0.62
1316 上曜,202506,154.39,0.51
1319 東陽,202506,-4.72,1.72
1321 大洋,202506,-28.49,-1.5
1323 永裕,202506,-34.81,-0.18
1324 地球,202506,-6.62,-3.7
1325 恆大,202506,8.93,-1.87
1326 台化,202506,-23.77,-2.38
1336 台翰,202506,1.2,-0.26
1337 再生-KY,202506,-6.42,-2.74
1338 廣華-KY,202506,-7.59,-2.8
1339 昭輝,202506,-6.69,-1.4
1340 勝悅-KY,202506,-46.33,-2.27
1341 富林-KY,202506,-17.26,1.24
1342 八貫,202506,13.92,3.14
1343 旭東環保,202506,-72.57,-12.94
1402 遠東新,202506,-11.01,1
1408 中紡,202506,5.86,
1409 新纖,202506,-15.1,-0.37
1410 南染,202506,-3.56,-0.94
1413 宏洲,202506,22.79,5.11
1414 東和,202506,-11.42,0.3
1416 廣豐,202506,5.78,0.62
1417 嘉裕,202506,-40.12,0.53
1418 東華,202506,-71.04,-3.64
1419 新紡,202506,5.47,2.14
1423 利華,202506,-19.9,1.83
