instance_id,scenario_set,n_stocks,n_scenarios,industry_shape,return_dist,corr_structure,beta_dist,mu_beta_corr,price_dist,w0_mode,stress_combo,K,cvar_max,n_lot_infeasible,opt_objective,opt_status,opt_relaxed,opt_runtime_s,opt_relaxation_log,default_objective,default_status,default_runtime_s,default_gap_pct,heuristic_objective,heuristic_feasible,heuristic_runtime_s,heuristic_gap_pct,heuristic_n_holdings,topk_objective,topk_feasible,topk_runtime_s,topk_gap_pct,topk_violations,heuristic_beats_topk,error
SYN_001_size20x100,S1,20,100,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,12,0.04,0,0.4550418460777698,Optimal,False,0.07176004105713218,,0.4550418460777698,Optimal,0.030502915964461863,0.0,0.45504184656276797,True,0.03348524996545166,-1.0658319821141208e-07,12,0.45010989843097426,True,0.0001052499283105135,1.0838448571942214,,True,
SYN_002_size20x250,S1,20,250,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,12,0.04,0,0.8041203614645214,Optimal,False,0.07195925002451986,,0.8041203614645214,Optimal,0.04703608306590468,0.0,0.8041203629512064,True,0.015844166977331042,-1.848833916634029e-07,12,0.8041203629512064,True,0.00011895806528627872,-1.848833916634029e-07,,True,
SYN_003_size20x500,S1,20,500,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,12,0.04,0,0.7207428625251886,Optimal,False,0.07258804200682789,,0.7207428625251886,Optimal,0.046479833079501987,0.0,0.7207428619415752,True,0.013243625056929886,8.097386879429057e-08,12,0.7207428619415752,True,0.00010112498421221972,8.097386879429057e-08,,True,
SYN_004_size50x100,S1,50,100,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,18,0.04,0,1.4511532201806412,Optimal,False,0.06592683400958776,,1.4511532201806412,Optimal,0.04214591602794826,0.0,1.4511532188735414,True,0.2655165410833433,9.007317377538162e-08,18,1.4503893638427667,True,0.0001264170277863741,0.05263788325393869,,True,
SYN_005_size50x250,S1,50,250,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,18,0.04,0,1.1294146767435147,Optimal,False,0.08116570790298283,,1.1294146767435147,Optimal,0.07494670804589987,0.0,1.1294146758685253,True,0.09894595795776695,7.747282130064746e-08,18,1.1294146758685253,True,0.00012629094999283552,7.747282130064746e-08,,True,
SYN_006_size50x500,S1,50,500,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,18,0.04,0,1.3693195731554275,Optimal,False,0.07955341704655439,,1.3693195731554275,Optimal,0.07760937500279397,0.0,1.3693195723417841,True,0.3947434169240296,5.941953878760164e-08,18,1.367064988561125,True,0.00012750003952533007,0.1646499939460508,,True,
SYN_007_size100x100,S1,100,100,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,25,0.04,0,1.6630215394045746,Optimal,False,0.0782338329590857,,1.6630215394045746,Optimal,0.07107966591138393,0.0,1.663021535962139,True,1.0764960829401389,2.0699886250939464e-07,25,1.6591693759481707,True,0.00014537503011524677,0.2316364139085749,,True,
SYN_008_size100x250,S1,100,250,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,25,0.04,0,1.447548180609311,Optimal,False,0.1628392089623958,,1.447548180609311,Optimal,0.16282450000289828,0.0,1.4475481796529144,True,0.7700797090074047,6.607009910612133e-08,25,1.432970792998669,True,0.0001262921141460538,1.0070398903410498,,True,
SYN_009_size100x500,S1,100,500,5_balanced,gaussian,block,tight,0.0,uniform,cold,normal,25,0.04,0,1.5951078389603641,Optimal,False,0.16480045905336738,,1.5951078389603641,Optimal,0.1531762919621542,0.0,1.5951078424513665,True,1.5920333340764046,-2.1885682527528895e-07,25,1.5753330208403296,True,0.000149125000461936,1.239716691062286,,True,
SYN_010_dist_t_independent,S2,50,250,5_balanced,t,independent,tight,0.0,uniform,cold,normal,20,0.04,0,0.9417554422927435,Optimal,False,0.07510095904581249,,0.9417554422927435,Optimal,0.07960941607598215,0.0,0.9417554437451627,True,0.09870491595938802,-1.5422466594787259e-07,20,0.9417554437451627,True,0.0001331249950453639,-1.5422466594787259e-07,,True,
